t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1773212013,53,3169,320.64150943396226,3,640.1945045284651,9.0,169.5,1948.7999999999995,3081.800000000002,3169.0,3169.0
1773212043,55,3169,309.3454545454546,3,630.963379173931,9.0,168.0,1930.1999999999991,3038.1999999999953,3169.0,3169.0
1773212073,56,3169,303.89285714285717,3,626.5311333357354,8.5,167.5,1920.8999999999996,3016.3999999999996,3169.0,3169.0
1773212103,56,3169,303.89285714285717,3,626.5311333357354,8.5,167.5,1920.8999999999996,3016.3999999999996,3169.0,3169.0
1773212133,57,3169,299.0701754385965,3,621.9785498038016,9.0,167.0,1911.599999999999,2994.599999999996,3169.0,3169.0
1773212163,58,3169,293.9655172413793,3,617.722982412509,8.5,166.5,1902.2999999999995,2972.8,3169.0,3169.0
1773212193,59,3169,289.06779661016947,3,613.529103500081,8.0,166.0,1893.0,2950.999999999997,3169.0,3169.0
1773212223,60,3169,284.3333333333333,3,609.4119328949855,7.5,158.5,1862.9999999999975,2929.200000000001,3169.0,3169.0
1773212253,61,3169,279.75409836065575,3,605.3695746054004,7.0,151.0,1832.999999999999,2907.399999999998,3169.0,3169.0
1773212283,62,3169,275.33870967741933,3,601.3928080917972,7.0,143.5,1802.9999999999966,2885.600000000002,3169.0,3169.0
1773212313,63,3169,271.0,2,597.5163650073636,7.0,136.0,1772.9999999999982,2863.799999999999,3169.0,3169.0
1773212343,64,3169,266.8125,2,593.7010865399609,7.0,135.5,1743.0,2841.9999999999955,3169.0,3169.0
1773212373,64,3169,266.8125,2,593.7010865399609,7.0,135.5,1743.0,2841.9999999999955,3169.0,3169.0
1773212403,64,3169,266.8125,2,593.7010865399609,7.0,135.5,1743.0,2841.9999999999955,3169.0,3169.0
1773212433,64,3169,266.8125,2,593.7010865399609,7.0,135.5,1743.0,2841.9999999999955,3169.0,3169.0
1773212670,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773212820,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773212851,18,3420,977.2777777777778,5,969.282075471359,1052.0,1411.75,3420.0,3420.0,3420.0,3420.0
1773212881,25,3420,707.72,2,927.5099963522406,116.0,1300.0,3100.7999999999993,3420.0,3420.0,3420.0
1773212911,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773212941,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773212971,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773213001,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773213031,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773213061,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773213091,26,3420,680.6538461538462,2,919.1902933476916,106.0,1258.0,3047.5999999999985,3420.0,3420.0,3420.0
1773213121,27,3420,655.6296296296297,2,910.6711450753969,96.0,1216.0,2994.399999999998,3420.0,3420.0,3420.0
1773213151,38,3420,467.44736842105266,2,819.780118751971,8.0,1051.0,2409.199999999997,3420.0,3420.0,3420.0
1773213181,38,3420,467.44736842105266,2,819.780118751971,8.0,1051.0,2409.199999999997,3420.0,3420.0,3420.0
1773213211,38,3420,467.44736842105266,2,819.780118751971,8.0,1051.0,2409.199999999997,3420.0,3420.0,3420.0
1773213241,38,3420,467.44736842105266,2,819.780118751971,8.0,1051.0,2409.199999999997,3420.0,3420.0,3420.0
1773213271,38,3420,467.44736842105266,2,819.780118751971,8.0,1051.0,2409.199999999997,3420.0,3420.0,3420.0
1773213301,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213331,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213361,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213391,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213421,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213451,51,3420,349.62745098039215,2,733.9610878182663,6.0,116.0,2226.9999999999995,3377.440000000001,3420.0,3420.0
1773213481,52,3420,343.0192307692308,2,728.2904099269423,6.0,111.0,2216.2499999999986,3356.1599999999976,3420.0,3420.0
1773213511,53,3420,336.62264150943395,2,722.7553907527215,6.0,106.0,2205.4999999999995,3334.880000000002,3420.0,3420.0
1773213541,54,3420,331.55555555555554,2,716.8721542469,6.0,101.0,2194.75,3313.5999999999985,3420.0,3420.0
1773213571,55,3420,325.6181818181818,2,711.5671408655659,6.0,96.0,2183.999999999999,3292.319999999995,3420.0,3420.0
1773213601,57,3420,314.3333333333333,2,701.2911391888265,6.0,84.0,2162.4999999999986,3249.759999999996,3420.0,3420.0
1773213631,59,3420,308.3220338983051,2,690.2693487447358,6.0,96.0,2141.0,3207.199999999997,3420.0,3420.0
1773213661,61,3420,298.4590163934426,2,680.8137428541056,6.0,84.0,2070.699999999999,3164.6399999999976,3420.0,3420.0
1773213691,62,3420,293.7258064516129,2,676.2380308774985,6.0,78.0,2035.549999999996,3143.3600000000024,3420.0,3420.0
1773213721,62,3420,293.7258064516129,2,676.2380308774985,6.0,78.0,2035.549999999996,3143.3600000000024,3420.0,3420.0
1773213751,63,3420,289.12698412698415,2,671.7547913814859,6.0,72.0,2000.399999999998,3122.079999999999,3420.0,3420.0
1773213781,64,3420,284.65625,2,667.3611672695416,6.0,69.75,1965.25,3100.7999999999956,3420.0,3420.0
1773213811,65,3420,280.32307692307694,2,663.04786562916,6.0,67.5,1930.099999999997,3079.5199999999923,3420.0,3420.0
1773213841,67,3420,273.04477611940297,2,654.2874086487046,6.0,70.0,1859.799999999996,3036.9600000000005,3420.0,3420.0
1773213871,70,3420,261.5857142857143,2,642.2264599655772,5.5,64.75,1754.350000000002,2973.119999999998,3420.0,3420.0
1773213901,71,3420,257.943661971831,2,638.360710555313,5.0,63.0,1719.199999999994,2951.8400000000024,3420.0,3420.0
1773213931,72,3420,254.43055555555554,2,634.5498532316485,5.0,59.75,1684.049999999996,2930.5599999999913,3420.0,3420.0
1773213961,73,3420,251.0,2,630.8091805151715,5.0,56.5,1648.899999999998,2909.2799999999957,3420.0,3420.0
